record_id_ferc1,record_id_eia,signature_1,signature_2,notes
f1_gnrt_plant_2018_12_148_0_9,2964_1_2018_plant_unit_total_15474,,,
f1_steam_2019_12_12_0_1,3325_gt_2019_plant_prime_mover_total_19545,CG,,
f1_steam_2019_12_12_0_2,3325_ic_2019_plant_prime_mover_total_19545,CG,,
f1_steam_2018_12_12_0_2,3325_ic_2018_plant_prime_mover_total_19545,CG,,
f1_steam_2018_12_12_0_1,3325_gt_2018_plant_prime_mover_total_19545,CG,,
f1_hydro_2018_12_6_0_4,3773_2018_plant_total_733,,,
f1_hydro_2018_12_6_0_1,3774_2018_plant_total_733,,,
f1_steam_2019_12_6_0_1,3775_2019_plant_total_733,CG,,Cap is off bc a unit retired
f1_steam_2018_12_6_0_1,3775_2018_plant_total_733,CG,,Cap is off bc a unit retired
f1_hydro_2018_12_6_0_2,3777_2018_plant_total_733,,,
f1_steam_2018_12_6_0_2,3935_2018_plant_total_733,,,
f1_steam_2018_12_192_0_1,3948_1_2018_plant_unit_owned_20521,,,
f1_steam_2018_12_81_0_2,3948_1_2018_plant_unit_owned_22053,,,
f1_steam_2018_12_192_0_2,3948_2018_plant_total_20521,,,
f1_steam_2018_12_81_0_3,3948_2018_plant_total_22053,,,
f1_steam_2018_12_193_1_4,4041_1_2018_plant_unit_total_20847,,,
f1_steam_2018_12_193_1_5,4042_1_2018_plant_unit_total_20847,,,
f1_hydro_2018_12_195_0_1,4063_2018_plant_total_20860,,,
f1_steam_2018_12_195_2_5,4078_gt_2018_plant_prime_mover_total_20860,,,
f1_hydro_2018_12_195_0_3,4079_2018_plant_owned_20860,,,
f1_hydro_2018_12_195_0_2,4080_2018_plant_owned_20860,,,
f1_gnrt_plant_2018_12_148_0_4,4940_1_2018_plant_unit_total_15474,,,
f1_steam_2018_12_7_1_2,4941_2018_plant_owned_803,,,
f1_steam_2018_12_195_3_4,55029_2018_plant_total_20860,,,
f1_gnrt_plant_2018_12_294_0_2,55111_2018_plant_owned_40211,,,
f1_steam_2018_12_177_3_2,55202_2018_plant_total_19436,,,
f1_steam_2018_12_177_3_1,55204_2018_plant_total_19436,,,
f1_steam_2018_12_100_0_4,55218_2018_plant_total_12685,,,
f1_steam_2018_12_100_0_1,55220_2018_plant_total_12685,,,
f1_steam_2018_12_6_0_4,55276_2018_plant_total_733,,,
f1_steam_2018_12_176_1_4,55343_2018_plant_owned_24211,,,
f1_steam_2018_12_6_0_5,55350_2018_plant_total_733,,,
f1_steam_2018_12_8_0_2,55380_2018_plant_owned_814,,,
f1_steam_2018_12_44_2_3,55402_2018_plant_total_5109,,,
f1_steam_2018_12_7_5_3,55455_1_2018_plant_unit_total_803,,,
f1_steam_2018_12_7_5_4,55455_2_2018_plant_unit_total_803,,,
f1_steam_2018_12_12_1_4,55478_2018_plant_total_19545,,,
f1_steam_2018_12_7_4_2,55522_2018_plant_total_803,,,
f1_steam_2018_12_44_2_2,55718_2018_plant_total_5109,,,
f1_gnrt_plant_2018_12_294_0_1,55856_2018_plant_total_40211,,,
f1_steam_2018_12_195_4_1,56031_2018_plant_total_20860,,,
f1_steam_2018_12_51_1_4,56456_2018_plant_owned_5860,,,
f1_steam_2018_12_12_1_1,57703_2018_plant_owned_19545,,,
f1_steam_2018_12_73_0_5,6000_2018_plant_total_9324,,,
f1_steam_2018_12_7_5_5,6008_1_2018_plant_gen_owned_803,,,
f1_steam_2018_12_7_6_1,6008_2_2018_plant_gen_owned_803,,,
f1_steam_2018_12_7_6_2,6008_1988_2018_plant_operating_year_owned_803,,,
f1_steam_2018_12_44_3_2,6034_gt_2018_plant_prime_mover_total_5109,,,
f1_steam_2018_12_44_4_1,6034_ic_2018_plant_prime_mover_total_5109,,,
f1_steam_2018_12_44_0_2,6034_1_2018_plant_unit_owned_5109,,,
f1_steam_2018_12_44_0_1,6034_1_2018_plant_unit_total_5109,,,
f1_steam_2018_12_44_2_5,6035_gt_2018_plant_prime_mover_total_5109,,,
f1_steam_2018_12_44_0_5,6035_1_2018_plant_unit_total_5109,,,
f1_steam_2018_12_176_1_3,6088_2018_plant_total_24211,,,
f1_steam_2018_12_12_0_4,6101_2018_plant_owned_19545,,,
f1_gnrt_plant_2018_12_294_0_4,6113_2018_plant_total_40211,,,
f1_steam_2018_12_177_1_1,6153_2018_plant_total_19436,,,
f1_steam_2018_12_177_0_3,6155_2018_plant_total_19436,,,
f1_steam_2018_12_73_0_1,6166_1_2018_plant_unit_owned_9324,,,
f1_steam_2018_12_73_0_2,6166_2_2018_plant_unit_owned_9324,,,
f1_steam_2018_12_73_0_4,6166_2018_plant_total_9324,,,
f1_steam_2018_12_193_0_5,6170_1_2018_plant_unit_total_20847,,,
f1_steam_2018_12_51_0_4,6223_2018_plant_total_5860,,,
f1_steam_2018_12_193_0_3,6253_2018_plant_total_20847,,,
f1_steam_2018_12_6_0_3,6264_2018_plant_total_733,,,
f1_hydro_2018_12_51_0_1,6280_2018_plant_total_5860,,,
f1_hydro_2018_12_6_0_3,6560_2018_plant_total_733,,,
f1_hydro_2018_12_6_1_1,6561_2018_plant_total_733,,,
f1_steam_2018_12_177_2_2,6650_2018_plant_total_19436,,,
f1_steam_2018_12_177_2_1,6651_2018_plant_total_19436,,,
f1_steam_2018_12_177_2_5,6652_2018_plant_total_19436,,,
f1_steam_2018_12_193_0_1,7159_2018_plant_total_20847,,,
f1_steam_2018_12_193_0_4,7270_2018_plant_total_20847,,,
f1_steam_2018_12_51_1_1,7296_gt_2018_plant_prime_mover_total_5860,,,
f1_steam_2018_12_51_1_2,7296_1_2018_plant_unit_owned_5860,,,
f1_steam_2018_12_74_0_4,7759_2018_plant_owned_9273,,,
f1_steam_2018_12_177_0_5,7964_2018_plant_total_19436,,,
f1_steam_2018_12_194_0_3,8023_1_2018_plant_unit_owned_20856,,,
f1_steam_2018_12_194_0_4,8023_2_2018_plant_unit_owned_20856,,,
f1_steam_2018_12_194_0_1,8023_1_2018_plant_unit_total_20856,,,
f1_steam_2018_12_194_0_2,8023_2_2018_plant_unit_total_20856,,,
f1_steam_2018_12_176_0_2,8223_1_2018_plant_unit_total_24211,,,
f1_steam_2018_12_177_1_2,913_2018_plant_total_19436,,,
f1_steam_2019_12_72_0_1,983_2019_plant_total_9269,CG,,
f1_steam_2018_12_72_0_1,983_2018_plant_total_9269,CG,,
f1_steam_2018_12_74_0_3,990_gt_2018_plant_prime_mover_total_9273,,,
f1_steam_2018_12_74_0_2,990_3_2018_plant_unit_total_9273,,,
f1_steam_2018_12_74_0_5,991_2018_plant_total_9273,,,
f1_gnrt_plant_2018_12_74_0_1,994_ic_2018_plant_prime_mover_total_9273,,,
f1_steam_2018_12_89_0_1,3992_2018_plant_total_11479,,,
f1_steam_2018_12_51_0_5,6065_1_2018_plant_unit_owned_5860,,,
f1_steam_2020_12_134_3_1,299_2020_plant_total_14354,AS,,was labeled as 299_2020_plant_total_14354_retired but this record doesn't exist
f1_steam_2020_12_134_3_2,55662_2020_plant_total_14354,AS,,
f1_steam_2020_12_134_0_1,113_2020_plant_owned_14354,CG,AS,
f1_steam_2020_12_108_1_1,2322_1973_2020_plant_operating_year_total_13407,AS,,
f1_steam_2020_12_134_0_2,6076_2020_plant_owned_14354,AS,,
f1_steam_2020_12_134_0_3,6021_2020_plant_owned_14354,AS,,
f1_steam_2020_12_134_3_4,56102_2020_plant_total_14354,AS,,
f1_steam_2020_12_134_0_4,4158_2020_plant_total_14354,AS,,
f1_steam_2020_12_210_1_5,6063_2020_plant_total_12341,AS,,
f1_steam_2020_12_157_0_1,2330_2020_plant_total_17166,AS,,
f1_steam_2020_12_134_2_4,3648_st_2020_plant_prime_mover_total_14354,AS,,
f1_steam_2020_12_134_3_3,3648_gt_2020_plant_prime_mover_total_14354,AS,,
f1_steam_2020_12_210_0_2,1091_2020_plant_owned_12341,AS,,
f1_steam_2020_12_210_0_3,7343_2020_plant_owned_12341,AS,,
f1_steam_2020_12_210_2_5,7985_2020_plant_total_12341,AS,,
f1_gnrt_plant_2020_12_134_0_35,56841_2008_2020_plant_operating_year_total_14354,AS,,
f1_gnrt_plant_2020_12_134_0_36,56841_2009_2020_plant_operating_year_total_14354,AS,,
f1_steam_2020_12_108_2_1,7082_1995_2020_plant_operating_year_total_13407,AS,,
f1_steam_2020_12_108_0_2,7082_2006_2020_plant_operating_year_total_13407,AS,,
f1_steam_2020_12_134_0_5,525_2020_plant_owned_14354,AS,,
f1_steam_2020_12_134_1_5,8069_2020_plant_total_14354,AS,,
f1_steam_2020_12_108_3_1,55687_2020_plant_total_13407,AS,,
f1_steam_2020_12_134_1_2,6165_2_2020_plant_unit_owned_14354,AS,,
f1_steam_2020_12_134_1_1,6165_1_2020_plant_unit_total_14354,AS,,
f1_steam_2020_12_134_1_3,6165_3_2020_plant_unit_total_14354,AS,,
f1_steam_2020_12_108_2_2,55322_2020_plant_total_13407,AS,,
f1_steam_2020_12_134_3_5,56237_1_2020_plant_unit_total_14354,AS,,
f1_steam_2020_12_134_4_1,56237_2_2020_plant_unit_total_14354,AS,,
f1_steam_2020_12_108_0_1,10761_2020_plant_total_13407,AS,,
f1_steam_2020_12_210_0_5,6664_2020_plant_owned_12341,AS,,
f1_gnrt_plant_2020_12_134_0_40,56466_2007_2020_plant_operating_year_total_14354,AS,,
f1_gnrt_plant_2020_12_134_0_41,56466_2008_2020_plant_operating_year_total_14354,AS,,
f1_steam_2020_12_210_2_2,899_gt_2020_plant_prime_mover_total_12341,AS,,
f1_gnrt_plant_2020_12_210_0_1,899_hy_2020_plant_prime_mover_total_12341,AS,,
f1_steam_2020_12_210_1_4,7145_2020_plant_total_12341,AS,,
f1_steam_2020_12_210_1_1,1081_2020_plant_total_12341,AS,,
f1_steam_2020_12_108_0_5,55841_2020_plant_total_13407,AS,,
f1_steam_2020_12_108_1_3,54854_2020_plant_total_13407,AS,,
f1_steam_2020_12_210_1_3,8029_2020_plant_total_12341,AS,,
f1_gnrt_plant_2020_12_134_0_45,56843_1_2020_plant_gen_total_14354,AS,,
f1_gnrt_plant_2020_12_134_0_46,56843_2_2020_plant_gen_total_14354,AS,,
f1_steam_2020_12_157_0_2,8224_2020_plant_owned_17166,AS,,
f1_steam_2020_12_157_0_4,2336_1_2020_plant_unit_total_17166,AS,,
f1_steam_2020_12_157_1_2,2336_1_2020_plant_unit_total_17166,AS,,
f1_steam_2020_12_210_0_1,1082_3_2020_plant_unit_owned_12341,AS,,
f1_steam_2020_12_210_3_1,1082_4_2020_plant_unit_owned_12341,AS,,
f1_gnrt_plant_2020_12_210_0_29,56810_2020_plant_total_12341,AS,,
f1_gnrt_plant_2020_12_210_1_19,59637_2020_plant_total_12341,AS,,
f1_gnrt_plant_2020_12_210_0_32,56809_2020_plant_total_12341,AS,,
f1_gnrt_plant_2020_12_210_0_11,56252_2020_plant_total_12341,AS,,
f1_gnrt_plant_2020_12_210_0_25,56677_2020_plant_total_12341,AS,,
f1_gnrt_plant_2020_12_210_0_45,57873_2020_plant_total_12341,AS,,
f1_gnrt_plant_2020_12_134_0_34,55607_2020_plant_total_14354,AS,,
f1_gnrt_plant_2020_12_134_0_37,56666_2020_plant_total_14354,AS,,
f1_gnrt_plant_2020_12_108_0_5,57684_2020_plant_total_13407,AS,,
f1_gnrt_plant_2020_12_134_0_38,57040_2020_plant_total_14354,AS,,
f1_gnrt_plant_2020_12_210_1_16,58883_2020_plant_total_12341,AS,,
f1_gnrt_plant_2020_12_210_0_7,56251_2020_plant_total_12341,AS,,
f1_gnrt_plant_2020_12_210_0_42,57500_2020_plant_total_12341,AS,,
f1_gnrt_plant_2020_12_134_0_39,56360_2020_plant_total_14354,AS,,
f1_gnrt_plant_2020_12_210_1_7,58884_2020_plant_total_12341,AS,,
f1_gnrt_plant_2020_12_210_1_10,58885_2020_plant_total_12341,AS,,
f1_gnrt_plant_2020_12_134_0_42,57039_2020_plant_total_14354,AS,,
f1_gnrt_plant_2020_12_210_1_1,57875_2020_plant_total_12341,AS,,
f1_gnrt_plant_2020_12_108_0_7,59919_2020_plant_total_13407,AS,,
f1_gnrt_plant_2020_12_210_0_21,56501_2020_plant_total_12341,AS,,
f1_gnrt_plant_2020_12_134_0_14,3034_2020_plant_total_14354,AS,,
f1_hydro_2020_12_134_2_5,3033_2020_plant_total_14354,AS,,
f1_gnrt_plant_2020_12_134_0_44,56842_2020_plant_total_14354,AS,,
f1_gnrt_plant_2020_12_210_0_39,57501_2020_plant_total_12341,AS,,
f1_gnrt_plant_2020_12_210_0_15,56379_2020_plant_total_12341,AS,,
f1_gnrt_plant_2020_12_210_1_4,57874_2020_plant_total_12341,AS,,
f1_gnrt_plant_2020_12_210_0_36,56811_2020_plant_total_12341,AS,,
f1_gnrt_plant_2020_12_210_1_13,58886_2020_plant_total_12341,AS,,
f1_hydro_2020_12_134_0_3,3020_2020_plant_total_14354,AS,,
f1_hydro_2020_12_134_0_4,3021_2020_plant_total_14354,AS,,
f1_hydro_2020_12_134_2_2,3847_2020_plant_total_14354,AS,,
f1_hydro_2020_12_134_1_2,827_2020_plant_total_14354,AS,,
f1_hydro_2020_12_134_3_3,3037_2020_plant_total_14354,AS,,
f1_hydro_2020_12_134_3_4,3850_2020_plant_total_14354,AS,,
f1_hydro_2020_12_134_3_5,3852_2020_plant_total_14354,AS,,
f1_hydro_2020_12_134_0_1,294_2020_plant_total_14354,AS,,
f1_hydro_2020_12_134_0_2,295_2020_plant_total_14354,AS,,
f1_hydro_2020_12_134_1_5,3029_2020_plant_total_14354,AS,,
f1_hydro_2020_12_134_2_1,6421_2020_plant_total_14354,AS,,
f1_hydro_2020_12_134_2_4,829_2020_plant_total_14354,AS,,
f1_hydro_2020_12_134_1_3,297_2020_plant_total_14354,AS,,
f1_hydro_2020_12_134_1_4,3028_2020_plant_total_14354,AS,,
f1_hydro_2020_12_134_3_1,3036_2020_plant_total_14354,AS,,
f1_hydro_2020_12_134_0_5,3646_2020_plant_total_14354,AS,,
f1_hydro_2020_12_134_3_2,831_2020_plant_total_14354,AS,,
f1_hydro_2020_12_134_1_1,3026_2020_plant_total_14354,AS,,
f1_hydro_2020_12_134_2_3,3040_2020_plant_total_14354,AS,,
f1_gnrt_plant_2020_12_134_0_3,6484_2020_plant_total_14354,AS,,
f1_gnrt_plant_2020_12_134_0_4,6459_2020_plant_total_14354,AS,,
f1_gnrt_plant_2020_12_134_1_4,58150_2020_plant_total_14354,AS,,
f1_gnrt_plant_2020_12_134_0_5,3024_2020_plant_total_14354,AS,,
f1_gnrt_plant_2020_12_134_0_6,3025_2020_plant_total_14354,AS,,
f1_gnrt_plant_2020_12_134_0_7,296_2020_plant_total_14354,AS,,
f1_gnrt_plant_2020_12_134_0_8,3651_2020_plant_total_14354,AS,,
f1_gnrt_plant_2020_12_134_0_10,987_2020_plant_total_14354,AS,,
f1_gnrt_plant_2020_12_134_0_12,3656_2020_plant_total_14354,AS,,
f1_gnrt_plant_2020_12_134_0_13,3032_2020_plant_total_14354,AS,,
f1_gnrt_plant_2020_12_134_0_15,3035_2020_plant_total_14354,AS,,
f1_gnrt_plant_2020_12_134_0_17,3659_2020_plant_total_14354,AS,,
f1_gnrt_plant_2020_12_134_0_20,3041_2020_plant_total_14354,AS,,
f1_gnrt_plant_2020_12_134_0_21,3661_2020_plant_total_14354,AS,,
f1_gnrt_plant_2020_12_210_2_32,57976_2020_plant_total_12341,AS,,FERC net gen mwh vs kwh
f1_gnrt_plant_2020_12_210_1_29,60326_2020_plant_total_12341,AS,,
f1_gnrt_plant_2020_12_210_1_33,60873_2020_plant_total_12341,AS,,
f1_gnrt_plant_2020_12_210_1_37,61079_2020_plant_total_12341,AS,,
f1_gnrt_plant_2020_12_210_1_41,62132_2020_plant_total_12341,AS,,
f1_gnrt_plant_2020_12_210_2_5,61911_2020_plant_total_12341,AS,,
f1_gnrt_plant_2020_12_210_2_1,62133_2020_plant_total_12341,AS,,
f1_gnrt_plant_2020_12_134_0_33,62591_2020_plant_total_14354,AS,,
f1_gnrt_plant_2020_12_210_2_13,63053_2020_plant_total_12341,AS,,
f1_gnrt_plant_2020_12_134_0_31,63915_2020_plant_total_14354,AS,,
f1_gnrt_plant_2020_12_210_2_18,63641_2020_plant_total_12341,AS,,
f1_gnrt_plant_2020_12_210_2_28,63639_2020_plant_total_12341,AS,,
f1_steam_2018_12_45_0_3,2718_2018_plant_total_5416,AS,CG,
f1_steam_2019_12_45_0_3,2718_2019_plant_total_5416,AS,CG,
f1_steam_2020_12_45_0_3,2718_2020_plant_total_5416,AS,CG,
f1_steam_2018_12_55_0_1,8048_2018_plant_total_6455,RF,CG,
f1_steam_2019_12_55_2_4,8048_2019_plant_total_6455,RF,CG,
f1_steam_2020_12_55_0_1,8048_2020_plant_total_6455,AS,CG,
f1_steam_2018_12_17_0_1,2706_st_2018_plant_prime_mover_total_3046,RF,CG,
f1_steam_2018_12_17_2_2,2706_gt_2018_plant_prime_mover_total_3046,RF,CG,
f1_steam_2019_12_17_4_3,2706_ct_2019_plant_prime_mover_total_3046_proposed,RF,CG,proposed plant. Partial data in both FERC and EIA
f1_steam_2019_12_17_0_1,2706_st_2019_plant_prime_mover_total_3046,RF,CG,
f1_steam_2019_12_17_2_2,2706_gt_2019_plant_prime_mover_total_3046,RF,CG,
f1_steam_2020_12_17_0_1,2706_st_2020_plant_prime_mover_total_3046,AS,CG,
f1_steam_2020_12_17_2_2,2706_gt_2020_plant_prime_mover_total_3046,AS,CG,
f1_steam_2020_12_17_4_3,2706_natural_gas_fired_combined_cycle_2020_plant_technology_total_3046,AS,CG,
f1_steam_2018_12_55_1_4,624_2018_plant_total_6455,RF,CG,
f1_steam_2019_12_55_1_1,624_2019_plant_total_6455,RF,CG,
f1_steam_2020_12_55_1_3,624_2020_plant_total_6455,AS,CG,
f1_steam_2018_12_55_2_1,627_2018_plant_total_6455,RF,CG,
f1_steam_2019_12_55_1_3,627_2019_plant_total_6455,RF,CG,
f1_steam_2020_12_55_1_5,627_2020_plant_total_6455,AS,CG,
f1_steam_2018_12_55_1_5,634_gt_2018_plant_prime_mover_total_6455,AS,CG,cap off but same net gen and same record over time
f1_steam_2018_12_55_0_4,634_4_2018_plant_unit_total_6455,AS,CG,cap off but same net gen and same record over time
f1_steam_2019_12_55_1_2,634_gt_2019_plant_prime_mover_total_6455,AS,CG,cap off but same net gen and same record over time
f1_steam_2019_12_55_0_1,634_4_2019_plant_unit_total_6455,AS,CG,cap off but same net gen and same record over time
f1_steam_2020_12_55_1_4,634_gt_2020_plant_prime_mover_total_6455,AS,CG,
f1_steam_2018_12_45_0_1,8042_2018_plant_total_5416,AS,CG,
f1_steam_2019_12_45_0_1,8042_2019_plant_total_5416,AS,CG,
f1_steam_2020_12_45_0_1,8042_2020_plant_total_5416,AS,CG,
f1_hydro_2018_12_17_0_1,2707_hy_2018_plant_prime_mover_total_3046,RF,CG,
f1_steam_2018_12_17_2_3,2707_gt_2018_plant_prime_mover_total_3046,RF,CG,
f1_hydro_2019_12_17_0_1,2707_hy_2019_plant_prime_mover_total_3046,RF,CG,
f1_steam_2019_12_17_2_3,2707_gt_2019_plant_prime_mover_total_3046,RF,CG,
f1_hydro_2020_12_17_0_1,2707_hy_2020_plant_prime_mover_total_3046,AS,CG,
f1_steam_2020_12_17_2_3,2707_gt_2020_plant_prime_mover_total_3046,AS,CG,
f1_steam_2018_12_17_1_4,6014_2018_plant_total_3046,RF,CG,
f1_steam_2019_12_17_1_4,6014_2019_plant_total_3046,RF,CG,
f1_steam_2020_12_17_1_4,6014_2020_plant_total_3046,AS,CG,
f1_steam_2018_12_45_2_1,2720_st_2018_plant_prime_mover_total_5416_retired,AS,CG,"cap wrong, but matches prior years"
f1_steam_2018_12_45_2_2,2720_gt_2018_plant_prime_mover_total_5416_retired,AS,CG,"cap wrong, but matches prior years"
f1_steam_2018_12_45_3_5,2720_2018_plant_total_5416,AS,CG,
f1_steam_2019_12_45_2_1,2720_st_2019_plant_prime_mover_total_5416_retired,AS,CG,
f1_steam_2019_12_45_2_2,2720_gt_2019_plant_prime_mover_total_5416_retired,AS,CG,
f1_steam_2019_12_45_3_5,2720_2019_plant_total_5416,AS,CG,
f1_steam_2020_12_45_2_2,2720_gt_2020_plant_prime_mover_total_5416_retired,AS,CG,
f1_steam_2020_12_45_2_1,2720_st_2020_plant_prime_mover_total_5416_retired,AS,CG,
f1_steam_2020_12_45_3_5,2720_2020_plant_total_5416,AS,CG,
f1_steam_2018_12_45_2_3,58212_2018_plant_total_5416_retired,AS,CG,hard to tell if plant total or plant owned because it's all 0
f1_steam_2019_12_45_2_3,58212_2019_plant_total_5416_retired,AS,CG,hard to tell if plant total or plant owned because it's all 0
f1_steam_2018_12_144_1_5,7763_2018_plant_total_15470,RF,CG,different utility
f1_steam_2019_12_144_1_5,7763_2019_plant_total_15470,RF,CG,different utility
f1_steam_2020_12_144_1_5,7763_2020_plant_total_15470,AS,CG,different utility
f1_steam_2018_12_17_0_2,2708_st_2018_plant_prime_mover_total_3046_retired,AS,CG,guess based on prior years
f1_steam_2018_12_17_3_2,2708_ct_2018_plant_prime_mover_total_3046_retired,AS,CG,guess based on prior years
f1_steam_2019_12_17_0_2,2708_st_2019_plant_prime_mover_total_3046_retired,AS,CG,guess based on prior years
f1_steam_2019_12_17_3_2,2708_ct_2019_plant_prime_mover_total_3046_retired,AS,CG,guess based on prior years
f1_steam_2018_12_45_3_2,6036_2018_plant_owned_5416,AS,CG,
f1_steam_2019_12_45_3_2,6036_2019_plant_owned_5416,AS,CG,
f1_steam_2020_12_45_3_2,6036_2020_plant_owned_5416,AS,CG,
f1_steam_2018_12_144_0_5,1001_ic_2018_plant_prime_mover_total_15470,RF,CG,
f1_steam_2018_12_144_0_4,1001_gt_2018_plant_prime_mover_total_15470,RF,CG,
f1_steam_2018_12_144_1_4,1001_st_2018_plant_prime_mover_total_15470,RF,CG,
f1_steam_2019_12_144_0_5,1001_ic_2019_plant_prime_mover_total_15470,RF,CG,
f1_steam_2019_12_144_0_4,1001_gt_2019_plant_prime_mover_total_15470,RF,CG,
f1_steam_2019_12_144_1_4,1001_st_2019_plant_prime_mover_total_15470,AS,CG,
f1_steam_2020_12_144_0_5,1001_ic_2020_plant_prime_mover_total_15470,AS,CG,
f1_steam_2020_12_144_0_4,1001_gt_2020_plant_prime_mover_total_15470,AS,CG,
f1_steam_2020_12_144_1_4,1001_st_2020_plant_prime_mover_total_15470,AS,CG,
f1_steam_2018_12_45_1_3,2721_2018_plant_total_5416,AS,CG,
f1_steam_2019_12_45_1_3,2721_2019_plant_total_5416,AS,CG,
f1_steam_2020_12_45_1_3,2721_2020_plant_total_5416,AS,CG,
f1_steam_2018_12_144_2_3,1002_2018_plant_total_15470,AS,CG,
f1_steam_2019_12_144_2_3,1002_2019_plant_total_15470_retired,RF,CG,
f1_steam_2018_12_45_1_2,2723_gt_2018_plant_prime_mover_total_5416_retired,AS,CG,cap matches another but inst year plus prior years match this one
f1_steam_2018_12_45_1_1,2723_st_2018_plant_prime_mover_total_5416_retired,AS,CG,
f1_steam_2018_12_45_4_1,2723_2018_plant_total_5416,AS,CG,
f1_steam_2019_12_45_1_1,2723_gt_2019_plant_prime_mover_total_5416_retired,AS,CG,cap matches another but inst year plus prior years match this one
f1_steam_2019_12_45_1_2,2723_st_2019_plant_prime_mover_total_5416_retired,AS,CG,
f1_steam_2019_12_45_4_1,2723_2019_plant_total_5416,AS,CG,
f1_steam_2020_12_45_1_2,2723_gt_2020_plant_prime_mover_total_5416_retired,AS,CG,
